,idx,start,end,population,cafo_type,filename,date_mismatch,newest,hog_mean_0,hog_mean_1,hog_mean_2,hog_std_0,hog_std_1,hog_std_2,r_mean,g_mean,b_mean,r_std,g_std,b_std,hog_hist_0_min,hog_hist_0_LQ,hog_hist_0_median,hog_hist_0_UQ,hog_hist_0_max,hog_hist_1_min,hog_hist_1_LQ,hog_hist_1_median,hog_hist_1_UQ,hog_hist_1_max,hog_hist_2_min,hog_hist_2_LQ,hog_hist_2_median,hog_hist_2_UQ,hog_hist_2_max,r_min,r_LQ,r_median,r_UQ,r_max,g_min,g_LQ,g_median,g_UQ,g_max,b_min,b_LQ,b_median,b_UQ,b_max,0,2,4,5,9,11,13,17,20,21,25,26,27,28,29,30,31,33,37,39,40,41,42,43,48,50,51,54,55,62,66,67,75,76,77,81,82,83,85,86,89,91,97,99,100,102,104,108,109,111,112,113,116,120,122,132,133,135,140,141,143,147,149,151,155,156,157,160,161,165,168,169,170,171,176,177,178,179,183,185,186,187,189,192,195,196,202,210,211,213,214,217,219,220,222,223,225,226,228,230,231,233,235,241,242,246,255,idx,unet_pixels
0,4289,2018-03-09,2023-11-09,101152,Poultry,4289_07_15_18.tif,False,True,0.3167947232723236,0.3335893154144287,0.3496159613132477,0.2432624399662017,0.2402227371931076,0.2567169666290283,94.68643021583556,101.55832433700562,89.35833954811096,54.26305766629719,42.659974837876526,36.97391860196322,-0.9488140344619752,0.1100632846355438,0.2735892683267593,0.4890726804733276,1.8718864917755127,-0.9518198370933532,0.1666420623660087,0.2975857257843017,0.4813736006617546,2.44741153717041,-0.9488140344619752,0.1100632846355438,0.2735892683267593,0.4890726804733276,1.8718864917755127,14.0,50.95814028690741,69.13270216400912,148.6361875637105,255.0,19.0,70.44826165224369,88.98681906521195,135.0534608067899,255.0,37.0,62.5820785310352,71.06748719996577,115.47653463053048,255.0,822.38654,825.1851,821.7987,826.4977,831.3658,832.28705,823.44183,830.384,821.24054,820.75195,826.39825,819.55865,825.61646,832.2022,825.48114,826.2837,830.3137,829.99304,828.6952,829.1368,829.12225,819.8485,827.9067,826.34735,826.32806,829.0226,822.3437,824.98926,831.4278,826.96814,822.34906,830.3377,826.1783,829.88324,832.05145,828.93805,831.2398,823.8546,825.77,828.77795,830.5183,832.27075,818.4993,824.5597,829.2326,829.0277,828.9435,828.92676,826.2698,823.2815,821.8381,826.30054,826.13306,820.0496,814.99963,823.16437,823.75244,829.11224,830.52905,820.4357,829.50214,829.2663,828.76935,830.1705,824.2583,827.54706,828.09894,830.57666,819.3579,831.59735,831.4481,824.30035,830.8019,821.28894,825.10565,830.05023,830.91,822.71747,832.50195,826.821,827.92303,831.32086,828.3393,823.9869,831.68805,814.18024,825.97534,826.129,822.34064,827.04095,823.6987,828.5452,821.5219,823.608,824.19763,830.8559,825.2787,823.71967,830.41565,823.2041,823.54236,827.0927,824.94464,826.7435,826.14166,825.72675,828.6596,4289,24450.0
1,4315,2018-02-26,2023-11-09,533333,Poultry,4315_09_08_18.tif,False,True,0.311862587928772,0.3022831380367279,0.3858542144298553,0.2736233174800873,0.2634921669960022,0.2822704315185547,130.06227827072144,125.31411409378052,112.81823205947876,47.13661029586977,42.11018615344119,41.103459238685225,-1.1028661727905271,0.031229356303811,0.2674715965986252,0.499119222164154,1.8586493730545044,-0.9107154607772828,0.0788083728402853,0.2608776390552521,0.4668090045452118,2.1101443767547607,-1.1028661727905271,0.031229356303811,0.2674715965986252,0.499119222164154,1.8586493730545044,25.0,82.56008334873717,145.13813185427958,174.1281541761292,255.0,24.0,86.96187333145517,133.10572924522205,164.91521640644854,255.0,30.0,73.41823507416179,113.5069734858938,150.94445280746652,255.0,3887.7,3912.9277,3879.6233,3910.8943,3942.7874,3948.4302,3900.155,3943.6743,3878.0867,3873.9558,3916.5806,3863.0247,3902.258,3951.5742,3909.9004,3910.7095,3946.0667,3946.5396,3935.1536,3931.9636,3935.464,3871.255,3931.7139,3919.7747,3919.6992,3933.5195,3890.2654,3907.376,3943.3726,3922.538,3890.3733,3940.0217,3912.6362,3943.001,3949.801,3933.9744,3952.8384,3900.1616,3910.9124,3931.8228,3948.4343,3959.392,3861.6592,3908.4277,3932.0503,3931.7273,3934.7314,3930.297,3910.1355,3897.997,3878.9026,3914.3977,3918.4185,3871.5483,3840.7983,3891.6787,3895.5696,3926.9907,3946.0364,3874.2153,3942.7048,3940.6409,3933.8706,3949.861,3894.8997,3927.2778,3929.994,3940.98,3867.6248,3940.649,3948.036,3906.1265,3942.0508,3881.3882,3906.9163,3944.471,3951.387,3890.2412,3956.499,3917.5593,3922.094,3945.3955,3925.6133,3897.7544,3939.6375,3837.767,3917.3718,3913.1562,3885.9631,3923.5435,3902.047,3938.7676,3881.3506,3897.0352,3900.6245,3948.1848,3906.7039,3901.8462,3950.7656,3889.8242,3892.7935,3916.629,3908.258,3914.7056,3915.6333,3912.6025,3925.0168,4315,85909.0
2,4135,2018-03-12,2023-11-09,680000,Poultry,4135_07_14_18.tif,False,True,0.3172222971916199,0.3473169803619385,0.3354607224464416,0.2509946227073669,0.2564275562763214,0.2732367813587188,137.60425233840942,131.1796793937683,113.36431217193604,30.943476991587477,26.789318058882955,27.225147086333976,-1.010176420211792,0.0849817115813493,0.2688225358724594,0.4944307282567024,1.9523513317108157,-1.065165877342224,0.1515101082623005,0.3018841594457626,0.4913721978664398,2.1858367919921875,-1.010176420211792,0.0849817115813493,0.2688225358724594,0.4944307282567024,1.9523513317108157,25.0,124.4770570124217,138.04955594271874,161.42532965348053,255.0,27.0,116.3506215953832,129.15403213115692,149.9800047443019,255.0,32.0,97.89299695150429,111.59345457435997,128.3865462917564,255.0,5002.199,5036.867,4990.396,5032.945,5075.904,5083.268,5019.6797,5077.6655,4988.8403,4983.054,5041.5093,4968.2925,5020.703,5088.494,5032.3784,5032.3945,5081.458,5082.254,5066.982,5061.838,5067.1226,4980.1816,5062.594,5045.997,5045.7188,5064.3276,5006.0684,5028.822,5076.1035,5049.6455,5006.5923,5072.969,5036.2334,5077.7837,5086.166,5064.816,5090.793,5019.321,5033.689,5061.3975,5085.047,5098.8975,4967.3374,5031.5503,5061.6367,5061.461,5066.2046,5059.567,5031.9204,5016.407,4989.419,5038.4966,5044.1787,4980.5806,4939.1675,5007.4946,5012.7236,5054.3613,5081.0034,4984.1533,5077.4805,5074.348,5064.6685,5087.341,5010.4844,5056.1016,5060.2734,5073.7725,4974.9565,5072.8047,5083.9526,5027.5825,5074.88,4993.8267,5028.272,5079.2705,5088.967,5005.6704,5094.6294,5042.384,5048.1533,5080.0674,5052.9707,5015.7754,5071.033,4935.2515,5042.814,5036.894,4999.5166,5051.0117,5021.9663,5072.288,4993.9067,5014.6577,5019.3877,5084.316,5027.756,5021.932,5088.84,5005.8096,5008.4043,5041.054,5030.117,5038.543,5040.254,5035.9683,5051.6895,4135,34261.0
3,4442,2018-05-25,2023-11-09,239616,Poultry,4442_07_15_18.tif,False,True,0.3071979880332947,0.3215872645378113,0.3712147176265716,0.2374292463064193,0.2233377695083618,0.2444124966859817,108.7127604484558,106.64854788780212,95.17569255828856,50.39125293998218,41.18375737604181,33.03462384170814,-0.9218586087226868,0.105915430933237,0.2747348845005035,0.4787190333008766,2.094923734664917,-1.094923734664917,0.1618056707084179,0.302166610956192,0.4669959917664528,2.4763429164886475,-0.9218586087226868,0.105915430933237,0.2747348845005035,0.4787190333008766,2.094923734664917,11.0,62.62460666036582,103.63713628266034,157.74481772694782,255.0,16.0,73.63030863453008,102.39121860465116,142.42682462449756,255.0,38.0,67.74887420460108,86.25426830264512,121.11908988852048,255.0,1336.7308,1342.6603,1334.9833,1343.9038,1352.6273,1354.4076,1339.2963,1351.9707,1334.4131,1333.4772,1344.3131,1330.8733,1341.7122,1354.5764,1343.0176,1343.5435,1352.2074,1351.6802,1348.9109,1349.3789,1349.5715,1332.056,1347.6587,1344.739,1344.6455,1349.1659,1336.8372,1342.0403,1353.0471,1345.9878,1336.862,1351.153,1343.82,1351.0635,1354.1102,1348.953,1353.9064,1339.6559,1343.0167,1348.7762,1352.7036,1355.8354,1329.6241,1341.5251,1348.6603,1349.1981,1349.0424,1348.682,1343.619,1338.9255,1334.9333,1343.7843,1344.1132,1332.3872,1323.1165,1338.0928,1338.9221,1348.4941,1352.278,1333.2113,1350.9017,1350.3997,1348.9573,1352.3335,1339.3556,1346.6956,1347.4912,1351.4835,1331.11,1352.5431,1353.2782,1341.0044,1352.1914,1334.8329,1342.2122,1351.5164,1353.2413,1337.3997,1355.5173,1344.9211,1346.8054,1353.0856,1347.4401,1339.3702,1352.7242,1322.1945,1343.9883,1343.5226,1336.5062,1345.774,1339.9354,1349.3276,1334.9088,1338.973,1340.0986,1352.8752,1342.38,1339.9648,1352.6724,1337.5894,1338.4916,1344.7212,1341.8672,1344.3143,1343.9181,1343.2079,1347.8185,4442,10420.0
4,4370,2018-03-16,2020-10-26,111600,Poultry,4370_07_15_18.tif,False,False,0.2650778293609619,0.3764841556549072,0.3584380149841308,0.2216411381959915,0.23897784948349,0.2403629422187805,88.80531144142151,94.10758447647096,89.13069343566895,49.88745150971827,38.11863146063337,32.76540284830788,-0.7633647918701172,0.0633265767246484,0.2420155778527259,0.4277704507112503,1.8176119327545168,-0.8176120519638062,0.213986899703741,0.3572028279304504,0.5089054256677628,2.196200370788574,-0.7633647918701172,0.0633265767246484,0.2420155778527259,0.4277704507112503,1.8176119327545168,14.0,45.28478493631161,69.21209895265628,136.01031360053665,255.0,21.0,63.93693096396456,84.88873074236614,124.908716811665,255.0,40.0,61.79211463106265,76.40619034994698,115.4078297353996,255.0,2745.0237,2765.7834,2738.369,2762.313,2786.965,2791.217,2755.6902,2788.6958,2737.094,2733.8381,2767.9844,2725.3457,2755.376,2794.4067,2762.1167,2762.4277,2791.5637,2792.5498,2783.5295,2778.9006,2782.486,2732.297,2780.7375,2771.0715,2771.279,2781.1243,2747.4954,2760.3723,2787.3982,2772.6008,2747.8323,2786.0056,2763.8777,2789.5005,2793.5535,2781.7393,2796.7507,2755.5364,2763.2239,2779.2656,2793.55,2801.7747,2724.6604,2762.1863,2780.124,2779.1155,2782.5776,2777.9888,2761.7893,2753.6934,2737.7126,2766.2124,2770.1575,2732.8743,2709.3674,2747.7163,2751.2727,2774.505,2791.1577,2734.3623,2789.2776,2787.4563,2781.5977,2795.4314,2750.07,2776.9792,2778.9841,2786.4534,2729.3972,2784.9233,2792.1736,2760.2512,2786.8362,2740.2803,2759.4585,2790.5188,2796.263,2747.052,2798.9675,2768.3777,2770.757,2789.4973,2774.0757,2752.9414,2783.9468,2707.188,2769.1887,2765.224,2743.18,2774.133,2757.0186,2786.7761,2740.2998,2752.4866,2755.5042,2792.8518,2759.2126,2756.6023,2795.94,2746.7068,2748.7698,2767.8772,2761.6519,2765.8472,2767.915,2764.6592,2773.3723,4370,67968.0
5,4370,2021-09-17,2023-11-09,319500,Poultry,4370_06_15_22.tif,False,True,0.3035487830638885,0.3393393754959106,0.3571118414402008,0.2324501127004623,0.2201579064130783,0.232309028506279,100.83461236953735,101.40318369865416,85.79217171669006,43.73217954073285,35.40353624604138,32.17838904355757,-0.7863353490829468,0.1117721814662218,0.2732987105846405,0.4703759625554085,1.7440083026885986,-0.7686717510223389,0.1871143579483032,0.3241709768772125,0.4776689782738685,1.725707769393921,-0.7863353490829468,0.1117721814662218,0.2732987105846405,0.4703759625554085,1.7440083026885986,0.0,65.60045378589278,96.07310847411392,143.3710591535225,255.0,9.0,73.64531870626064,100.61591274285436,129.57909813518486,255.0,25.0,58.975034562725774,77.69047273781902,110.6210035271362,255.0,4111.807,4140.2954,4102.103,4136.906,4172.585,4178.8823,4126.1177,4174.17,4100.7285,4096.065,4144.256,4083.5713,4127.075,4182.9375,4136.583,4136.786,4177.122,4178.02,4165.2695,4160.931,4165.3716,4093.649,4161.435,4148.0576,4147.9795,4163.071,4114.9067,4133.821,4172.922,4150.8096,4115.5,4170.1543,4139.4507,4174.0215,4181.0654,4163.514,4184.8906,4125.8887,4137.6025,4160.965,4180.133,4191.869,4082.7578,4135.7075,4161.033,4160.701,4164.7046,4159.0513,4136.4883,4123.4927,4101.4937,4141.766,4146.5757,4093.7148,4059.8303,4115.9497,4120.5605,4155.0005,4176.863,4096.854,4173.8037,4171.353,4163.404,4182.1133,4118.929,4156.337,4159.6177,4171.0586,4089.4087,4169.923,4179.3706,4132.663,4171.9004,4104.991,4133.2197,4175.461,4183.3584,4114.6904,4188.3223,4144.8643,4149.6753,4175.975,4153.8247,4123.038,4168.6533,4056.5103,4145.3867,4140.3237,4109.6494,4152.121,4128.1216,4169.605,4104.953,4122.1826,4126.2153,4179.5806,4132.5938,4127.9365,4183.0093,4114.1377,4117.0146,4143.877,4134.8687,4141.6553,4143.1978,4139.652,4152.4834,4370,54107.0
6,4297,2018-08-21,2023-11-09,8700,Poultry,4297_06_17_20.tif,False,True,0.2883591949939728,0.3728542923927307,0.3387865424156189,0.2520311772823334,0.2526077628135681,0.2486778646707534,142.4179391860962,135.09580397605896,110.22601199150084,32.5790958969843,23.545155716167155,24.031946298631333,-0.8821715712547302,0.032541393302381,0.2521838247776031,0.4845032468438148,1.75666081905365,-0.7706806659698486,0.1931854858994484,0.3471068739891052,0.5248998552560806,2.0913004875183105,-0.8821715712547302,0.032541393302381,0.2521838247776031,0.4845032468438148,1.75666081905365,32.0,131.63846957832874,149.99768257586732,163.81130212030493,255.0,43.0,122.2507139032661,136.5186859875862,150.03254645676506,255.0,47.0,97.3824970500207,110.00560727281076,123.79762396694215,255.0,1374.5057,1382.7657,1372.0206,1382.4227,1393.0636,1394.9546,1378.4598,1393.1266,1371.282,1370.0322,1384.2069,1366.8058,1379.762,1395.8271,1381.8358,1382.3353,1393.9053,1394.0922,1390.5541,1389.3329,1390.2109,1368.9299,1389.0597,1385.2186,1385.1975,1389.7875,1375.2592,1380.8789,1393.3188,1386.0089,1375.2913,1392.0614,1382.6582,1392.881,1395.4355,1389.9258,1396.0385,1378.6729,1382.2631,1389.0156,1394.8507,1398.3883,1365.7168,1381.1572,1389.6381,1389.3186,1390.3203,1388.8405,1382.0566,1377.8997,1371.8877,1383.4202,1384.6891,1369.2975,1358.9602,1375.8209,1377.2892,1387.7246,1393.8351,1370.0768,1392.8165,1391.8827,1389.9268,1394.8617,1377.1827,1387.5527,1388.4607,1392.4088,1367.707,1392.4966,1394.74,1380.463,1392.7583,1372.366,1380.7343,1393.4606,1395.8096,1375.4138,1397.7529,1384.547,1386.0778,1393.7524,1387.3168,1377.7705,1392.3016,1357.8218,1384.3126,1383.0669,1374.0623,1386.5237,1379.0167,1391.3131,1372.4453,1377.5988,1378.9413,1394.5977,1380.9102,1379.0264,1395.265,1375.4883,1376.3887,1384.4258,1381.298,1383.5714,1384.0267,1382.7017,1387.3754,4297,23823.0
7,4378,2018-02-26,2023-11-09,71500,Poultry,4378_08_15_18.tif,False,True,0.2962314486503601,0.3306817412376404,0.3730868101119995,0.2429937571287155,0.2457049190998077,0.2695904374122619,147.7167444229126,136.7423813343048,118.65126419067384,42.8258601800383,33.41231665928642,27.33006366436513,-1.134596347808838,0.0641579236835241,0.2560288310050964,0.4797646477818489,1.9961283206939695,-1.0850207805633545,0.1251911483705043,0.282096266746521,0.4859005659818649,2.221810817718506,-1.134596347808838,0.0641579236835241,0.2560288310050964,0.4797646477818489,1.9961283206939695,2.0,138.73661470444694,159.95703414197413,176.653090268814,255.0,20.0,121.87121347166268,141.42395750767577,160.55570504527813,255.0,41.0,102.970384349895,116.6083498051392,136.1217331424137,255.0,3097.8728,3117.75,3091.552,3116.466,3142.092,3146.772,3107.7583,3142.4658,3090.4062,3087.0068,3121.2397,3078.4404,3109.7563,3149.3164,3115.773,3116.2588,3144.276,3144.5356,3135.76,3133.4204,3136.2017,3085.0708,3132.8757,3123.4297,3123.2898,3134.5242,3100.0786,3113.6648,3142.295,3125.716,3100.5063,3139.8162,3118.1106,3141.9685,3147.8237,3134.645,3149.7725,3107.7717,3116.5173,3133.1287,3146.2065,3154.8855,3077.288,3114.6243,3133.2761,3133.1892,3135.5972,3132.0054,3116.0337,3106.0518,3091.111,3119.3218,3122.3953,3085.1758,3060.7117,3101.1553,3104.398,3129.5066,3144.1145,3087.5876,3141.7256,3139.9788,3134.663,3147.3167,3103.4607,3129.3323,3131.747,3140.7224,3081.95,3140.6157,3146.3875,3112.3857,3141.2517,3093.0415,3113.5725,3143.0725,3148.4841,3100.0142,3152.809,3121.6084,3125.7144,3144.1504,3128.4048,3106.0625,3139.7148,3057.9885,3121.3867,3118.4128,3096.781,3126.472,3109.2778,3138.4075,3093.1008,3105.3643,3108.25,3146.194,3113.286,3109.323,3148.0325,3099.9927,3101.8171,3121.1365,3114.2458,3119.7324,3119.9988,3117.7678,3128.1003,4378,49760.0
8,4424,2018-03-08,2023-11-09,480000,Poultry,4424_07_15_18.tif,False,True,0.3177594840526581,0.3272286653518677,0.3550118207931518,0.2451372444629669,0.2346449047327041,0.2519801557064056,113.27281546592712,114.73649644851685,103.94070315361024,55.75611982449899,45.62062871238091,39.43006567955059,-0.9825969338417052,0.1181704942137003,0.279396653175354,0.4874461144208908,1.9268728494644165,-0.9541609287261964,0.1572366058826446,0.3038399070501327,0.4759146422147751,2.3525915145874023,-0.9825969338417052,0.1181704942137003,0.279396653175354,0.4874461144208908,1.9268728494644165,14.0,61.644490091317394,99.41288772577116,171.27228610759624,255.0,18.0,78.79708451369216,105.59215370736108,157.78595136273697,255.0,40.0,69.55384557272134,90.5488497229759,138.14828689211612,255.0,2690.1458,2705.1877,2685.9373,2705.6414,2725.4282,2729.3542,2697.4585,2725.356,2684.9148,2682.4219,2708.467,2676.1375,2700.7207,2730.3042,2704.68,2705.5537,2726.3845,2726.169,2719.3047,2718.5933,2719.9792,2679.76,2716.8447,2709.772,2709.6594,2718.6653,2691.2375,2702.8484,2726.0208,2711.9172,2691.681,2722.8591,2705.7593,2724.1816,2729.4424,2718.962,2730.3997,2697.589,2704.7234,2717.963,2727.646,2734.6843,2674.373,2702.1,2718.1528,2718.173,2719.367,2717.159,2704.8909,2696.1519,2685.8333,2707.0725,2708.5706,2680.7275,2660.7903,2692.933,2695.446,2715.9,2726.46,2682.2573,2723.7637,2722.6736,2718.8577,2727.7266,2695.8496,2714.2559,2715.8584,2723.8777,2677.709,2724.7712,2727.972,2700.9807,2724.9248,2686.1694,2702.381,2725.2925,2729.4844,2691.8408,2733.3953,2708.8948,2712.6262,2726.8691,2714.5552,2696.54,2724.6907,2658.6816,2707.9543,2705.8794,2689.612,2712.3494,2698.709,2720.9292,2686.413,2695.9644,2698.6572,2727.7625,2702.6775,2698.7927,2728.5632,2691.8818,2693.702,2708.7231,2702.6606,2707.182,2707.4644,2705.6343,2714.8403,4424,105872.0
9,4157,2018-02-26,2023-11-09,513333,Poultry,4157_09_07_18.tif,False,True,0.3073070049285888,0.3271784782409668,0.3655144572257995,0.2684092819690704,0.2466432154178619,0.2872584164142608,129.73478865623474,121.72717809677124,108.22424149513245,38.11669256659857,32.41109167895234,29.59487348789242,-0.7690274715423584,0.0249541513621807,0.2572768479585647,0.4964705407619476,1.7024497985839844,-0.7638404369354248,0.1173356547951698,0.2769843339920044,0.4894005954265594,1.7795131206512451,-0.7690274715423584,0.0249541513621807,0.2572768479585647,0.4964705407619476,1.7024497985839844,16.0,106.87906407291526,144.9570269955906,155.95780892807798,255.0,21.0,99.54131240462176,133.19178501861015,143.23771298517562,255.0,29.0,84.80892451250149,118.03890718888844,127.93788761687058,255.0,5523.055,5551.8745,5513.787,5554.274,5594.8574,5603.3433,5536.6533,5593.5317,5513.076,5507.768,5559.2905,5494.3853,5544.3574,5604.7046,5552.7354,5554.122,5594.416,5593.798,5579.6255,5581.4424,5583.204,5502.7344,5575.0005,5561.3745,5561.0586,5580.031,5524.9546,5549.117,5596.342,5566.327,5526.1704,5588.604,5555.2876,5589.6216,5601.5938,5579.8677,5603.2983,5536.7134,5552.0464,5579.776,5597.178,5611.6694,5491.21,5546.593,5577.977,5579.8286,5580.8564,5577.6514,5553.785,5534.3154,5514.1675,5556.4937,5558.8677,5502.9937,5462.961,5528.5625,5533.4004,5576.264,5594.843,5507.836,5589.2417,5587.731,5580.0396,5597.074,5533.575,5569.9595,5573.678,5590.9688,5498.287,5594.0405,5599.6597,5543.829,5593.5073,5515.174,5549.116,5592.2734,5599.912,5526.3887,5609.5015,5560.2295,5570.0522,5597.6987,5572.959,5535.752,5594.2056,5458.282,5557.768,5554.2256,5522.461,5566.065,5539.185,5582.8613,5515.2227,5534.26,5539.0176,5598.0293,5548.9775,5539.9995,5598.5347,5525.951,5529.6855,5559.6226,5547.1934,5557.4863,5555.962,5553.9004,5572.5864,4157,0.0
